sum: 617090
neighbourhood the 1
built I 1
all presence 1
vestibule and 1
not interposed 1
and treachery 1
steadily opposed 1
a legal 1
smells most 1
view were 1
increasing civilities 1
unprincipled or 1
love when 1
credit with 1
require confirmation 1
the imaginations 1
excellent ball 1
renewing those 1
archly for 1
used synonymously 1
by settlement 1
of Cleveland 1
Sloop Thrush 1
sort at 1
were lost 1
Bertram when 1
procure as 1
again Even 1
invent any 1
your curiosity 1
Ford's Ford's 1
Cottager's speeches 1
forgot how 1
a shrinking 1
can't help 1
The cotillions 1
told as 1
endless From 1
Sucklings This 1
under servants 1
idea Is 1
recital confirmed 1
Suckling is 1
moonlight I 1
Suckling it 1
hair a 1
apartment and 1
intended that 1
Suckling in 1
vigour of 1
father may 1
ma'am is 1
her capacity 1
strictest sense 1
really occurred 1
These words 1
ladies during 1
regular way 1
seamanship in 1
hair Take 1
qualified her 1
one feel 1
have admitted 1
mindful of 1
hush not 1
handsome present 1
said walks 1
their exactly 1
from nature 1
to To 1
strict rule 1
breakfast Henry 1
sue for 1
as happily 1
Sharp is 1
unfortunate quarrel 1
danced the 1
awkwardness becomes 1
along so 1
working uninterruptedly 1
of Between 1
exploring and 1
a gate 1
convenient no 1
secret perhaps 1
on one's 1
for hurry 1
account After 1
useful helpmate 1
much encouragement 1
suspicions every 1
mistake to 1
unpleasant vivacity 1
be This 1
My resolution 1
pocket she 1
grandmama Soup 1
ever denied 1
change would 1
another He 1
them nine 1
this morning's 1
falling an 1
doing ere 1
spoke particular 1
What might 1
falling at 1
yourself there 1
herself like 1
away now 1
are circumstanced 1
riddle kind 1
are excessively 1
do Towards 1
had struck 1
more gentlemanlike 1
were decided 1
soon So 1
had being 1
supposed She 1
Frances fared 1
her horse 1
sharp and 1
for indulging 1
request which 1
high flown 1
talks Miss 1
Under his 1
agreeable We 1
rudeness in 1
drew the 1
not undesirable 1
and child 1
stationed herself 1
receive him 1
acquirements of 1
towards home 1
laying a 1
is saving 1
of jewellers 1
faults faults 1
symptoms there 1
get Mr 1
usual reserve 1
keep house 1
one Do 1
perfect nor 1
only thought 1
Bertrams Mr 1
sorry sir 1
or possibility 1
and Delaford 1
shame shame 1
instantly through 1
finally concluded 1
Otways Not 1
diffuseness and 1
firmer mind 1
suggesting certain 1
way Fanny 1
is deserving 1
scarlet That 1
in braids 1
in putting 1
another draught 1
a tie 1
trotted to 1
gaily in 1
Churchills He 1
tens and 1
hand again 1
every street 1
exaggerated feelings 1
but admit 1
part To 1
Admiral and 1
Coles worthy 1
to smaller 1
questions on 1
instrument For 1
liquor last 1
of departure 1
demands impudent 1
where secrecy 1
no aid 1
dreadful suspense 1
event my 1
and assurance 1
coldly I 1
no air 1
great boy 1
comfortable enough 1
it Its 1
breakfast Edmund 1
sister tried 1
dear Anne 1
C These 1
effect The 1
agreeable Let 1
Willoughby sincerely 1
mean time 1
people than 1
different would 1
certainly soon 1
by profession 1
uneasy She 1
Fanny never 1
his regretting 1
has out 1
has our 1
completely recovered 1
anxious apprehensive 1
minutes silent 1
hand Emma 1
candour in 1
change indeed 1
parlour hung 1
scruples in 1
power Such 1
income has 1
like Fullerton 1
literally or 1
Fraser no 1
thought otherwise 1
increased sobs 1
body's most 1
Lucas's scheme 1
shewed me 1
brown complexion 1
no conscience 1
allowances of 1
this secret 1
convinced said 1
carriage driving 1
Crawford After 1
looked fearfully 1
more no 1
alone her 1
forbid that 1
husband soon 1
weight They 1
no near 1
Pug and 1
nor Tom 1
acquaintance grew 1
children go 1
designing friends 1
ceremonious note 1
treasure Lady 1
since HER 1
turkey's being 1
my proof 1
more delightfully 1
admitted before 1
most soothing 1
little occasion 1
neighbourhood He 1
her preferment 1
exhibiting figures 1
an independent 1
generally concluded 1
always distractedly 1
often artificial 1
It stands 1
grounds You 1
these came 1
are charming 1
were grieved 1
unaccountable mistake 1
nothing Perhaps 1
leaning over 1
make You 1
bad grace 1
and evils 1
ride with 1
conciliatory manner 1
tender constant 1
unaffected cordiality 1
watched blushed 1
nothing Mr 1
up how 1
entered Elinor's 1
assemblies neither 1
rest say 1
naturally would 1
probably knew 1
praise Very 1
considerably lengthened 1
incitement to 1
not remarkable 1
or pestilences 1
everywhere awake 1
were CHAPTER 1
which till 1
overcoming Well 1
creditable home 1
Fitzwilliam what 1
Emma's attempts 1
all reseated 1
and invent 1
into whose 1
had attached 1
countries we 1
this instrument 1
Hunsford she 1
Edmund delighted 1
quarter your 1
success with 1
paved with 1
line did 1
room none 1
taking comfort 1
children CHAPTER 1
whom with 1
again No 1
throughout had 1
soon enjoying 1
in essentials 1
bold The 1
coachman The 1
This apartment 1
everybody especially 1
such brilliant 1
and orderly 1
matter may 1
sometimes runs 1
herself growing 1
transports of 1
exhilarated by 1
figure might 1
should neither 1
Anne would 1
persuasion this 1
imperfectly known 1
exceedingly proud 1
acquaintance entirely 1
drawing him 1
visits conveyed 1
appears In 1
Brandon Mrs 1
powered Such 1
Enscombe Perry's 1
brought down 1
unjustifiable theatre 1
troublesome topic 1
looking servants 1
Thomas from 1
air This 1
paper could 1
Woodhouse recommend 1
Julia Unhappy 1
itself from 1
witness without 1
He added 1
William accompanied 1
She desires 1
removed I 1
prepared with 1
much wonder 1
nature which 1
gloominess of 1
thirteen bid 1
she disregarded 1
woman likely 1
undecided From 1
absurdity Actually 1
never has 1
beneficial to 1
directly behind 1
here yet 1
was earned 1
guilt which 1
was passionately 1
resumed her 1
last brought 1
delightful When 1
considerable improvements 1
surmises but 1
my yellow 1
so refreshing 1
infatuating principle 1
enjoyment In 1
novels amazingly 1
delighted I 1
Owens settled 1
me twinkling 1
of uttering 1
cheek the 1
called them 1
my tour 1
glad the 1
off let 1
my peace 1
right all 1
jealous than 1
Cramer And 1
Walk repeated 1
form no 1
slight indignation 1
on Sarah's 1
between concern 1
was meditated 1
news through 1
or indolent 1
seducer and 1
and turkey 1
gladly therefore 1
assured as 1
nominal office 1
ball Very 1
much bitterness 1
hopes but 1
fairly caught 1
so THEN 1
clear estate 1
insolent She 1
taken cold 1
thick shoes 1
Elizabeth sometimes 1
once owned 1
call your 1
exactly but 1
gratulation on 1
been quitted 1
began I 1
Isabella's eyes 1
With many 1
resource if 1
mind conceived 1
sisters home 1
Eleanor's marriage 1
been voluntarily 1
his poultry 1
happily passed 1
exception in 1
brought things 1
place thought 1
times ever 1
so Our 1
carrying their 1
betray your 1
still fresh 1
all Why 1
whose prior 1
so unperceived 1
filling great 1
directly sure 1
few petrified 1
settled NEAR 1
foolish business 1
disposed from 1
up wholly 1
was invested 1
heroic height 1
and spleen 1
Besides the 1
half half 1
Her's for 1
uniting dinner 1
brightest glow 1
creating what 1
in cold 1
worth attending 1
reprehensible feelings 1
understands boiling 1
fear satisfying 1
same truths 1
you altogether 1
or boil 1
man both 1
horse a 1
will refresh 1
very jealous 1
things no 1
colonel of 1
suspicion darted 1
much unless 1
the encumbrance 1
their youth 1
us word 1
its sense 1
tidy old 1
last fifteen 1
violent death 1
on after 1
both tragedy 1
Sotherton he 1
punctual habits 1
Elinor's arm 1
short nobody 1
unseasonableness of 1
own hasty 1
require particular 1
occurring in 1
much Aye 1
quit him 1
preference But 1
proper discrimination 1
chestnuts I 1
No sister 1
consults me 1
paintings but 1
strong light 1
house furniture 1
cool feelings 1
must probably 1
discontent How 1
improperly by 1
warmth nor 1
papas and 1
earnestly regarding 1
by intoxication 1
town received 1
has talents 1
being overtaken 1
twenty a 1
high place 1
time procure 1
them warm 1
apartments and 1
virtue than 1
was yielding 1
moving away 1
their northern 1
toleration of 1
Birmingham &c 1
broad short 1
hers Edmund 1
to truths 1
no obligation 1
young she 1
might And 1
seats for 1
much deserving 1
dress moved 1
soon pointed 1
of fears 1
debts Tom 1
beyond Catherine 1
stiles and 1
had created 1
Marianne The 1
flow as 1
single that 1
worse thought 1
Eltons for 1
resisting it 1
mistaken His 1
From his 1
feigned as 1
much towards 1
Goddard if 1
sometimes directly 1
As good 1
might originally 1
can require 1
blame she 1
us away 1
While in 1
errors have 1
from eight 1
open attraction 1
happy alternative 1
sneer Excuse 1
them Who 1
wants improvement 1
those wishes 1
expressed not 1
were discerned 1
castle but 1
cause My 1
and forgotten 1
comprehend you 1
in dispelling 1
be Now 1
measuring lengths 1
Bath When 1
any taking 1
his acquittal 1
Tetbury Miss 1
danced would 1
naturally betrayed 1
move them 1
been provoked 1
since its 1
some tender 1
marked to 1
hours I 1
You wrong 1
being successful 1
cousins enjoyment 1
plainer Well 1
of ultimate 1
least backward 1
repeated again 1
YOUR house 1
hems with 1
or contrivance 1
the liking 1
dust Could 1
near Westerham 1
with several 1
Lacey Edmund 1
inspection Emma 1
deference of 1
his upright 1
many charming 1
connected the 1
criticise Edmund 1
own independence 1
mama withdrew 1
Not entirely 1
seldom listened 1
with That 1
return As 1
beginning thus 1
she begun 1
Dartford Lady 1
task of 1
private use 1
minutes She 1
Fairfax looking 1
was discernible 1
successively and 1
which encouraged 1
declaration but 1
hung it 1
the healthfulness 1
beg in 1
to worldly 1
hung in 1
some place 1
keep only 1
of procrastinating 1
than postpone 1
giving HER 1
meant before 1
acquaintance wish 1
of yourselves 1
rather give 1
looks this 1
expectations were 1
minute examination 1
polite unconcern 1
kindly commended 1
summits Combe 1
next proposition 1
them exceedingly 1
shop just 1
due allowance 1
rational or 1
exclaimed Elinor 1
excess He 1
hours a 1
Much beyond 1
modest hopes 1
bred than 1
It grieved 1
I stopped 1
star no 1
arts said 1
depart Mr 1
minor arrangements 1
Emma gave 1
derived only 1
worse looking 1
lucky idea 1
she relied 1
but nine 1
at Yes 1
lightness than 1
entirely ignorant 1
placed them 1
meeting Elinor 1
some apprehension 1
our missing 1
blessed abode 1
Morland's company 1
with Uncle 1
Elizabeth noticed 1
want more 1
so tardy 1
unqualified unalloyed 1
Now at 1
or wives 1
were forward 1
How pleasant 1
all replied 1
their interest 1
Her inviting 1
threats of 1
inquired then 1
wound it 1
gross violation 1
from Lydia 1
melted butter's 1
get married 1
We hear 1
scrape was 1
Meryton had 1
surmise There 1
hardily be 1
me read 1
eleven following 1
been hunting 1
Charlotte's did 1
refuse no 1
support declaring 1
not warrant 1
herself Remember 1
exuberance of 1
name A 1
sensibilities I 1
delayed Imprudent 1
service should 1
many roofs 1
resent but 1
throat Mrs 1
any bones 1
into thoughtfulness 1
ready interposition 1
otherwise that 1
immediately while 1
name a 1
horror oppressed 1
exclamation is 1
that proved 1
attending before 1
considered she 1
me absence 1
sort most 1
LOOK her 1
Sam stop 1
giving hints 1
drawing was 1
London ever 1
apparently stronger 1
delightful task 1
respect A 1
wonderfully borne 1
any elucidation 1
shades of 1
also dancing 1
rooms into 1
thoughts perhaps 1
expect every 1
belongs solely 1
brother's conduct 1
another Mary 1
unfixed till 1
and regulating 1
fingers grasped 1
subjects being 1
me nothing 1
sitting some 1
prizes to 1
heavens My 1
excursion through 1
after persisting 1
assertion Again 1
for parents 1
all fearful 1
summers in 1
shock however 1
fancy astray 1
my goodwill 1
beg him 1
brilliant acquirements 1
gentlemen returned 1
likewise full 1
companionableness but 1
for letting 1
everything very 1
is tender 1
most shamefully 1
Crawford's Crawford's 1
as regular 1
difference nobody 1
invariably disgusted 1
Tilney too 1
your door 1
material superiority 1
substituted everything 1
number to 1
performance But 1
conscience only 1
sir her 1
short their 1
found happiness 1
abbey had 1
all though 1
relapsing much 1
distinguishing his 1
eccentric and 1
against an 1
Portsmouth unfavourable 1
more powerful 1
US and 1
desire him 1
me speaking 1
Her duplicity 1
even melancholy 1
were grateful 1
How surprised 1
others have 1
object where 1
look plain 1
deficiency than 1
Highbury again 1
escaped with 1
important preparations 1
exclaimed Oh 1
its brightest 1
more hysterical 1
answered If 1
and obsequiousness 1
long known 1
knives were 1
own sins 1
not getting 1
for reminding 1
probably flow 1
favourably for 1
thinks nobody 1
Forster believed 1
sakes I 1
some inimitable 1
cordially and 1
26 Mrs 1
housekeeper up 1
attendants of 1
quite far 1
Poor Janet 1
former ungenerous 1
being Saturday 1
Lord Did 1
dated a 1
Jane always 1
ago with 1
then some 1
or smooth 1
justice or 1
polished manner 1
delightfully just 1
chose the 1
the whim 1
properly by 1
amusement there 1
into admitting 1
am If 1
Saunders the 1
strong inducement 1
going all 1
is unnecessary 1
had wrought 1
She recommended 1
your spotted 1
entirely against 1
uncomfortable with 1
deal surprized 1
properly be 1
by foregoing 1
persuaded me 1
circumstance imaginable 1
invitation Bingley 1
He complete 1
stockings Yes 1
themselves very 1
of false 1
Westons arrived 1
and Wednesday 1
withstand the 1
avail herself 1
encouraging your 1
join Marianne 1
gravel you 1
nonsensical as 1
instance she 1
run round 1
everything needful 1
a fling 1
Her sleep 1
watchfulness most 1
one full 1
first consideration 1
nothing doubtful 1
like going 1
and ingenuousness 1
mad to 1
our passing 1
surprise us 1
did perfectly 1
law entered 1
attracting each 1
again Very 1
of tolerable 1
convey gratitude 1
wish sir 1
stage CHAPTER 1
preferment trebling 1
weight He 1
hands together 1
by Jove 1
Brandon's wife 1
willingness for 1
inquiry on 1
whose tremulous 1
entry into 1
whim of 1
easily pre 1
having matched 1
name Oh 1
there shall 1
manner What 1
recess on 1
quite laid 1
more comfort 1
that leads 1
not restrain 1
troublesome boys 1
congratulating me 1
better report 1
wife died 1
refusal which 1
little circuit 1
more largely 1
Charles that 1
friend's brother 1
clear A 1
nonsenses and 1
this feeling 1
a colicky 1
comfort A 1
my junior 1
expensive it 1
judgement he 1
difficulties under 1
So her 1
evening no 1
occupation for 1
fit The 1
never pass 1
behaviour so 1
love ring 1
Susan's heart 1
with contempt 1
rate in 1
profess myself 1
construction of 1
often disgusts 1
departure They 1
shopping and 1
pursued only 1
Edmund's return 1
adapt his 1
company here's 1
spent an 1
it Think 1
a planted 1
chosen Fanny 1
nothing extravagant 1
remind Isabella 1
Smith refuse 1
Knight whose 1
making one 1
dress themselves 1
agreeable However 1
should disregard 1
well aloud 1
had lodgings 1
Thomas there 1
Barton decisively 1
supplying one 1
ambitious provided 1
finds the 1
downs I 1
messages she 1
body Although 1
What this 1
raised restless 1
its side 1
My style 1
for great 1
go Mrs 1
tea visit 1
kind Oh 1
are interested 1
Emma lost 1
many conquests 1
this greatest 1
has committed 1
near approach 1
surprise His 1
whatever minor 1
neither Emma 1
engagement what 1
thinking everybody 1
every improvement 1
yes the 1
spot had 1
no contribution 1
much At 1
discourse She 1
told HER 1
Catherine there 1
she Here 1
allow all 1
